date,time,operator,edition,list,event,playlist_time,ID,playlist_on
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutPrimary,05:12:55:03,AN041094,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutPrimary,05:13:05:03,MHDPR_000011474,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutSecondary,05:13:05:03,ICONX,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutSecondary,05:13:05:03,ICONX,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutSecondary,05:13:05:03,ICONX,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutSecondary,05:25:59:12,ICONX,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutPrimary,05:26:23:23,MHDPR_000013843,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutSecondary,05:26:23:23,ICONX,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutSecondary,05:26:23:23,ICONX,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutSecondary,05:26:26:23,ICONX,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutPrimary,05:37:59:13,2530838,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutSecondary,05:37:49:17,SCTE104,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutSecondary,05:37:59:13,ICONX,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutSecondary,05:37:59:17,SCTE104,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutPrimary,05:38:09:13,AN042479,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutSecondary,05:37:59:18,SCTE104,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutSecondary,05:38:29:16,SCTE104,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutPrimary,05:38:39:13,GRF_2255_STF,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutPrimary,05:38:44:13,2495984,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutSecondary,05:38:34:17,SCTE104,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutPrimary,05:39:04:13,2425726,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutPrimary,05:39:34:13,2509560,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutPrimary,05:39:44:13,2480714,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutPrimary,05:40:04:13,2521987,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutPrimary,05:40:19:13,2373481,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutPrimary,05:40:29:13,2491402,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutPrimary,05:40:49:13,2517961,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutPrimary,05:41:19:13,2480574,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutPrimary,05:41:39:13,2491033,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutPrimary,05:41:49:13,2503502,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutPrimary,05:42:04:13,2116250,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutSecondary,05:42:14:17,SCTE104,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutPrimary,05:42:24:13,GRF_2023_ENF,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutSecondary,05:41:54:13,ICONX,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutPrimary,05:42:34:13,2522954,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutSecondary,05:42:24:17,SCTE104,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutSecondary,05:42:54:17,SCTE104,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutPrimary,05:43:04:13,MHDPR_000013843,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutSecondary,05:43:04:13,ICONX,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutSecondary,05:43:04:13,ICONX,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutSecondary,05:43:04:13,ICONX,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutSecondary,05:50:13:22,ICONX,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutPrimary,05:53:53:03,2522954,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutSecondary,05:53:43:07,SCTE104,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutSecondary,05:53:53:03,ICONX,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutSecondary,05:54:13:07,SCTE104,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutPrimary,05:54:23:03,AN042441,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutSecondary,05:54:13:08,SCTE104,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutSecondary,05:54:43:06,SCTE104,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutPrimary,05:54:53:03,GRF_2245_STF,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutPrimary,05:54:58:03,2525448,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutSecondary,05:54:48:07,SCTE104,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutPrimary,05:55:13:03,2495984,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutPrimary,05:55:33:03,2526710,WP09
